trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;text_2.started;key_resp.started;key_resp.keys;key_resp.rt;key_resp.duration;key_resp_2.started;card_1.started;card_2.started;card_3.started;card_4.started;card_5.started;card_6.started;card_7.started;card_8.started;card_9.started;key_resp_2.keys;key_resp_2.rt;key_resp_2.duration;card_shown.started;card_shown.stopped;participant;session;date;expName;psychopyVersion;frameRate
;;;;7.522.716.300.038.150;7.522.716.300.038.150;left;24.411.335.100.012.300;None;;;;;;;;;;;;;;;;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
;;;;;;;;;32.090.768.499.998.300;32.090.768.499.998.300;32.090.768.499.998.300;32.090.768.499.998.300;32.090.768.499.998.300;32.090.768.499.998.300;32.090.768.499.998.300;32.090.768.499.998.300;32.090.768.499.998.300;32.090.768.499.998.300;space;61.443.422.899.988.900;None;;;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
0;0;0;0;;;;;;;;;;;;;;;;;;;9.384.101.520.001.420;9.514.486.070.000.560;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
1;0;1;0;;;;;;;;;;;;;;;;;;;9.543.652.270.000.890;9.674.379.430.001.130;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
2;0;2;0;;;;;;;;;;;;;;;;;;;9.703.536.730.003.540;9.834.080.920.001.720;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
3;0;3;0;;;;;;;;;;;;;;;;;;;986.371.415.000.176;999.442.225.000.239;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
4;0;4;0;;;;;;;;;;;;;;;;;;;10.023.587.790.003.500;10.154.402.380.000.100;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
5;0;5;0;;;;;;;;;;;;;;;;;;;10.183.563.630.003.400;10.314.670.209.999.800;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
6;0;6;0;;;;;;;;;;;;;;;;;;;10.343.749.060.004.400;10.474.479.890.003.500;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
7;0;7;0;;;;;;;;;;;;;;;;;;;1.050.363.521.000.250;10.634.340.449.998.800;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
8;0;8;0;;;;;;;;;;;;;;;;;;;10.663.502.049.999.000;10.794.231.260.003.200;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
9;0;9;0;;;;;;;;;;;;;;;;;;;108.239.984.200.045;;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
10;0;10;0;;;;;;;;;;;;;;;;;;;10.983.810.709.998.900;11.114.505.829.999.600;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
11;0;11;0;;;;;;;;;;;;;;;;;;;11.143.672.110.000.600;11.274.392.189.999.300;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
12;0;12;0;;;;;;;;;;;;;;;;;;;11.303.556.049.999.300;11.434.235.430.002.400;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
13;0;13;0;;;;;;;;;;;;;;;;;;;11.464.005.320.001.100;;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
14;0;14;0;;;;;;;;;;;;;;;;;;;11.623.807.100.002.800;11.754.492.250.003.300;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
15;0;15;0;;;;;;;;;;;;;;;;;;;11.783.660.099.998.800;11.914.356.290.001.800;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
16;0;16;0;;;;;;;;;;;;;;;;;;;1.194.427.933.000.260;;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
17;0;17;0;;;;;;;;;;;;;;;;;;;12.103.949.500.003.300;;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
18;0;18;0;;;;;;;;;;;;;;;;;;;12.263.790.950.004.400;123.945.389.600.005;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
19;0;19;0;;;;;;;;;;;;;;;;;;;12.423.703.670.001.100;12.554.411.350.004.300;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
20;0;20;0;;;;;;;;;;;;;;;;;;;1.258.357.018.000.090;12.714.260.080.002.700;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
21;0;21;0;;;;;;;;;;;;;;;;;;;12.744.122.159.999.000;;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
22;0;22;0;;;;;;;;;;;;;;;;;;;12.903.989.419.998.800;;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
23;0;23;0;;;;;;;;;;;;;;;;;;;13.063.725.180.004.200;13.194.407.870.003.400;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
24;0;24;0;;;;;;;;;;;;;;;;;;;13.223.572.029.999.900;13.354.265.730.001.400;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
25;0;25;0;;;;;;;;;;;;;;;;;;;13.384.039.470.000.400;;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
26;0;26;0;;;;;;;;;;;;;;;;;;;13.543.789.160.001.300;13.674.296.280.002.400;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
27;0;27;0;;;;;;;;;;;;;;;;;;;1.370.407.864.000.290;;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
28;0;28;0;;;;;;;;;;;;;;;;;;;13.863.910.950.004.300;;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
29;0;29;0;;;;;;;;;;;;;;;;;;;14.023.789.839.999.500;;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
30;0;30;0;;;;;;;;;;;;;;;;;;;14.183.728.999.999.500;14.315.517.149.999.500;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
31;0;31;0;;;;;;;;;;;;;;;;;;;14.344.014.580.000.600;;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
32;0;32;0;;;;;;;;;;;;;;;;;;;14.503.943.530.004.400;;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
33;0;33;0;;;;;;;;;;;;;;;;;;;14.663.601.740.001.400;14.794.397.240.004.000;46382;1;2023-07-30_17h57.18.824;magic_trick;03.01.2023;16.438.770.515.050.400
