trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,text_6.started,a_card.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,8.15144399998826,8.15144399998826,space,1.0745715000084601,None,,,,,,,,,,,,,,,,,,,,,,,,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
,,,,,,,,,9.381019099993864,9.381019099993864,9.381019099993864,9.381019099993864,9.381019099993864,9.381019099993864,9.381019099993864,9.381019099993864,9.381019099993864,9.381019099993864,9.381019099993864,space,0.42713490000460297,None,,,,,,,,,,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
,,,,,,,,,,,,,,,,,,,,,,,9.817542999982834,9.817542999982834,space,0.7218634999881033,None,,,,,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,10.551296999998158,10.551296999998158,11.55181309999898,12.070450600003824,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.056512599985581,13.560190099989995,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.558072299987543,15.058251199981896,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.055521299975226,16.55762269999832,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.55708859997685,18.058608999999706,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.055940599995665,19.554557399998885,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.552265899983468,21.06362089997856,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.053072399983648,22.56167490000371,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.55530199999339,24.058549799985485,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.056685499992454,25.55840989999706,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.555645699991146,27.058296100003645,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.055625499982852,28.557979199977126,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.55522129999008,30.05727229997865,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,31.057408199994825,31.556521099992096,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,32.55718390000402,33.05833719999646,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.05348239999148,34.56305749999592,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,35.55405909998808,36.05686029998469,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,37.05663310000091,37.558225199987646,229805,001,2023-08-04_16h27.40.410,magic_trick,2023.1.3,164.34636979209563,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.553872499993304,,,,,,,,
