trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,a_card.started,text.started,a_card.stopped,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.534534699996584,7.534534699996584,space,0.8238023999874713,None,,,,,,,,,,,,,,,,,,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
,,,,,,,,,8.528485500006354,8.528485500006354,8.528485500006354,8.528485500006354,8.528485500006354,8.528485500006354,8.528485500006354,8.528485500006354,8.528485500006354,8.528485500006354,space,0.7890555999911157,None,,,,,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
0,0,0,0,,,,,,,,,,,,,,,,,,,9.618883100003586,9.618883100003586,10.926017400008277,10.926017400008277,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
1,0,1,0,,,,,,,,,,,,,,,,,,,11.223384500000975,11.223384500000975,,,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
2,0,2,0,,,,,,,,,,,,,,,,,,,12.822260500004631,12.822260500004631,,,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
3,0,3,0,,,,,,,,,,,,,,,,,,,14.417356500009191,14.417356500009191,15.724021100002574,15.724021100002574,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
4,0,4,0,,,,,,,,,,,,,,,,,,,16.02148350000789,16.02148350000789,,,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
5,0,5,0,,,,,,,,,,,,,,,,,,,17.62037689999852,17.62037689999852,18.925318199995672,18.925318199995672,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
6,0,6,0,,,,,,,,,,,,,,,,,,,19.222688499998185,19.222688499998185,,,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
7,0,7,0,,,,,,,,,,,,,,,,,,,20.821428299997933,20.821428299997933,,,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
8,0,8,0,,,,,,,,,,,,,,,,,,,22.419219700008398,22.419219700008398,23.72806200000923,23.72806200000923,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
9,0,9,0,,,,,,,,,,,,,,,,,,,24.019551000004867,24.019551000004867,25.32753560000856,25.32753560000856,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
10,0,10,0,,,,,,,,,,,,,,,,,,,25.618896900006803,25.618896900006803,26.930477400004747,26.930477400004747,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
11,0,11,0,,,,,,,,,,,,,,,,,,,27.2218453999958,27.2218453999958,,,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
12,0,12,0,,,,,,,,,,,,,,,,,,,28.820660600002157,28.820660600002157,,,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
13,0,13,0,,,,,,,,,,,,,,,,,,,30.420816900004866,30.420816900004866,,,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
14,0,14,0,,,,,,,,,,,,,,,,,,,32.019120900004054,32.019120900004054,33.32952080000541,33.32952080000541,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
15,0,15,0,,,,,,,,,,,,,,,,,,,33.620853800006444,33.620853800006444,,,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
16,0,16,0,,,,,,,,,,,,,,,,,,,35.21977520000655,35.21977520000655,36.52296750000096,36.52296750000096,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
17,0,17,0,,,,,,,,,,,,,,,,,,,36.82044640000095,36.82044640000095,,,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
18,0,18,0,,,,,,,,,,,,,,,,,,,38.419223999997484,38.419223999997484,39.728874000007636,39.728874000007636,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
19,0,19,0,,,,,,,,,,,,,,,,,,,40.020343199998024,40.020343199998024,41.32781980000436,41.32781980000436,261727,001,2023-08-03_17h41.18.512,magic_trick,2023.1.3,166.55868111386857,
,,,,,,,,,,,,,,,,,,,,,,41.61919300000591,41.61919300000591,,,,,,,,,
