trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.880440000008093,7.880440000008093,space,27.622589799997513,None,,,,,,,,,,,,,,,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
,,,,,,,,,35.6598406000121,35.6598406000121,35.6598406000121,35.6598406000121,35.6598406000121,35.6598406000121,35.6598406000121,35.6598406000121,35.6598406000121,35.6598406000121,space,1.0590210999944247,None,,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
0,0,0,0,,,,,,,,,,,,,,,,,,,37.02152960000967,38.32918400000199,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
1,0,1,0,,,,,,,,,,,,,,,,,,,38.62055110000074,39.929473700001836,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
2,0,2,0,,,,,,,,,,,,,,,,,,,40.22102030001406,41.52788610001153,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
3,0,3,0,,,,,,,,,,,,,,,,,,,41.82543340000848,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
4,0,4,0,,,,,,,,,,,,,,,,,,,43.42682780000905,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
5,0,5,0,,,,,,,,,,,,,,,,,,,45.020570600012434,46.32655730000988,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
6,0,6,0,,,,,,,,,,,,,,,,,,,46.626647299999604,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
7,0,7,0,,,,,,,,,,,,,,,,,,,48.22039620000578,49.52925590000814,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
8,0,8,0,,,,,,,,,,,,,,,,,,,49.82638600000064,,316686,001,2023-08-03_17h49.09.084,magic_trick,2023.1.3,163.75456465214148,
