trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,a_card.started,a_card.stopped,text_5.started,key_resp_4.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.800495299976319,7.800495299976319,space,1.7842485000146553,None,,,,,,,,,,,,,,,,,,,,,,,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
,,,,,,,,,9.743661799991969,9.743661799991969,9.743661799991969,9.743661799991969,9.743661799991969,9.743661799991969,9.743661799991969,9.743661799991969,9.743661799991969,9.743661799991969,9.743661799991969,space,0.881314400001429,None,,,,,,,,,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
,,,,,,,,,,,,,,,,,,,,,,,10.635497500014026,10.635497500014026,space,0.6296244999975897,None,,,,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,11.272524799976964,11.272524799976964,12.768224900006317,14.273205099976622,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.771575599967036,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.771510699996725,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.77115370001411,20.27490029996261,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.766061100002844,22.27572879998479,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.766564599995036,24.273774400004186,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.766774499963503,26.27320769999642,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.76658110000426,28.273586299968883,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.76638569997158,30.273145399987698,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.76620049995836,32.27228739997372,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,32.76599270000588,34.27413769997656,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.765792199992575,36.27289419999579,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,36.765579300001264,38.27318349998677,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,38.771370199974626,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,40.77117159997579,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,42.770966099982616,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,44.77084809995722,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,46.770552499976475,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,48.77034129999811,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,50.770140299980994,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,52.76998799998546,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,54.76977359998273,,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,56.769604499975685,58.27723710000282,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,58.76929849997396,60.276214799960144,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,60.76911299995845,62.27651880000485,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,62.768946999975014,64.27506309997989,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,64.76879150001332,66.2761090999702,,,343526,001,2023-08-06_12h32.25.698,magic_trick,2023.1.3,164.80546369382336,
