trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,text_4.stopped,polygon_2.stopped,a_card.started,a_card.stopped,text_5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,12.663239700021222,12.663239700021222,space,67.6185603000049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
,,,,,,,,,80.43951809999999,80.43951809999999,80.43951809999999,80.43951809999999,80.43951809999999,80.43951809999999,80.43951809999999,80.43951809999999,80.43951809999999,80.43951809999999,80.43951809999999,space,16.229143700009445,None,,,,,,,,,,,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
,,,,,,,,,,,,,,,,,,,,,,,96.67589980000048,96.67589980000048,space,30.981165200006217,None,,,,,,,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,127.66686570001184,127.66686570001184,128.68070460000308,128.68070460000308,129.1626933000225,130.6704153000028,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.16277470000205,132.67038460000185,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.16270509999595,134.6683752000099,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.16246429999592,136.67014060000656,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.16224770000554,138.6647484000132,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.16201010000077,140.67040250002174,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.16184190000058,142.666148600023,,,,,,344943,001,2023-08-04_15h36.02.555,magic_trick,2023.1.3,165.08378824208768,
