trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,card_shown.started,card_shown.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,11.204932700000427,11.204932700000427,space,6.161254999999983,None,,,,,,,,,,,,,,,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
,,,,,,,,,17.533546300000125,17.533546300000125,17.533546300000125,17.533546300000125,17.533546300000125,17.533546300000125,17.533546300000125,17.533546300000125,17.533546300000125,17.533546300000125,space,1.0569210000003295,None,,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
0,0,0,0,,,,,,,,,,,,,,,,,,,18.900018999999702,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
1,0,1,0,,,,,,,,,,,,,,,,,,,20.498658700000306,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
2,0,2,0,,,,,,,,,,,,,,,,,,,22.09813800000029,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
3,0,3,0,,,,,,,,,,,,,,,,,,,23.69706479999968,25.004741099999592,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
4,0,4,0,,,,,,,,,,,,,,,,,,,25.296382999999878,26.603992399999697,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
5,0,5,0,,,,,,,,,,,,,,,,,,,26.89658789999976,28.203548399999818,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
6,0,6,0,,,,,,,,,,,,,,,,,,,28.495909600000232,29.80343670000002,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
7,0,7,0,,,,,,,,,,,,,,,,,,,30.0949042000002,31.398445200000424,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
8,0,8,0,,,,,,,,,,,,,,,,,,,31.696107099999608,33.00364189999982,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
9,0,9,0,,,,,,,,,,,,,,,,,,,33.29512220000015,34.60275009999987,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
10,0,10,0,,,,,,,,,,,,,,,,,,,34.8942035,36.19785680000041,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
11,0,11,0,,,,,,,,,,,,,,,,,,,36.49537260000034,37.79971370000021,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
12,0,12,0,,,,,,,,,,,,,,,,,,,38.097463699999935,39.40547919999972,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
13,0,13,0,,,,,,,,,,,,,,,,,,,39.69710659999964,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
14,0,14,0,,,,,,,,,,,,,,,,,,,41.29760069999975,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
15,0,15,0,,,,,,,,,,,,,,,,,,,42.89636520000022,44.20402269999977,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
16,0,16,0,,,,,,,,,,,,,,,,,,,44.495492600000034,45.803398000000016,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
17,0,17,0,,,,,,,,,,,,,,,,,,,46.094833899999685,47.40260709999984,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
18,0,18,0,,,,,,,,,,,,,,,,,,,47.70058559999961,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
19,0,19,0,,,,,,,,,,,,,,,,,,,49.300238300000274,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
20,0,20,0,,,,,,,,,,,,,,,,,,,50.9017874000001,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
21,0,21,0,,,,,,,,,,,,,,,,,,,52.499701200000345,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
22,0,22,0,,,,,,,,,,,,,,,,,,,54.098985800000264,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
23,0,23,0,,,,,,,,,,,,,,,,,,,55.699447599999985,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
24,0,24,0,,,,,,,,,,,,,,,,,,,57.294826000000285,58.60253199999988,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
25,0,25,0,,,,,,,,,,,,,,,,,,,58.90068450000035,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
26,0,26,0,,,,,,,,,,,,,,,,,,,60.50055049999992,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
27,0,27,0,,,,,,,,,,,,,,,,,,,62.09982709999986,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
28,0,28,0,,,,,,,,,,,,,,,,,,,63.70175399999971,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
29,0,29,0,,,,,,,,,,,,,,,,,,,65.29850859999988,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
30,0,30,0,,,,,,,,,,,,,,,,,,,66.8979704000003,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
31,0,31,0,,,,,,,,,,,,,,,,,,,68.49827530000039,,437738,001,2023-08-02_20h44.32.025,magic_trick,2023.1.3,164.75170270828212,
