trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,card_shown.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.186076199985109,7.186076199985109,space,30.418151599995326,None,,,,,,,,,,,,,,,,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
,,,,,,,,,37.76904360001208,37.76904360001208,37.76904360001208,37.76904360001208,37.76904360001208,37.76904360001208,37.76904360001208,37.76904360001208,37.76904360001208,37.76904360001208,space,3.547230700030923,None,,,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
0,0,0,0,,,,,,,,,,,,,,,,,,,41.32338110002456,41.84068480000133,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
1,0,1,0,,,,,,,,,,,,,,,,,,,42.82300590001978,43.32656060002046,43.32656060002046,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
2,0,2,0,,,,,,,,,,,,,,,,,,,44.321973100013565,44.829795100027695,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
3,0,3,0,,,,,,,,,,,,,,,,,,,45.82486400002381,46.33255200000713,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
4,0,4,0,,,,,,,,,,,,,,,,,,,47.327588799991645,47.82759780000197,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
5,0,5,0,,,,,,,,,,,,,,,,,,,48.822985799983144,49.330937699996866,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
6,0,6,0,,,,,,,,,,,,,,,,,,,50.32583390001673,50.82743170001777,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
7,0,7,0,,,,,,,,,,,,,,,,,,,51.82326660002582,52.332785699982196,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
8,0,8,0,,,,,,,,,,,,,,,,,,,53.3276668000035,53.82786880002823,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
9,0,9,0,,,,,,,,,,,,,,,,,,,54.828605099988636,55.332401200023014,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
10,0,10,0,,,,,,,,,,,,,,,,,,,56.32719109999016,56.82866170001216,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
11,0,11,0,,,,,,,,,,,,,,,,,,,57.823496100027114,58.332062700006645,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
12,0,12,0,,,,,,,,,,,,,,,,,,,59.32699269999284,59.828677400015295,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
13,0,13,0,,,,,,,,,,,,,,,,,,,60.823515600000974,61.33199969999259,,457806,001,2023-08-06_14h27.33.738,magic_trick,2023.1.3,164.80627837118396,
