trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,polygon.started,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,8.673364200018113,8.673364200018113,space,18.43738129999838,None,,,,,,,,,,,,,,,,,,,,,,481468,001,2023-08-04_14h42.39.209,magic_trick,2023.1.3,164.79242742220052,
,,,,,,,,,27.277169100008905,27.277169100008905,27.277169100008905,27.277169100008905,27.277169100008905,27.277169100008905,27.277169100008905,27.277169100008905,27.277169100008905,27.277169100008905,space,21.23344789998373,None,,,,,,,,,481468,001,2023-08-04_14h42.39.209,magic_trick,2023.1.3,164.79242742220052,
,,,,,,,,,,,,,,,,,,,,,,48.52015910000773,48.52015910000773,space,20.56660109999939,None,,,,481468,001,2023-08-04_14h42.39.209,magic_trick,2023.1.3,164.79242742220052,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,69.12682830000995,70.39381410001079,71.70207280002069,481468,001,2023-08-04_14h42.39.209,magic_trick,2023.1.3,164.79242742220052,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,71.9934726000065,73.3016334999993,481468,001,2023-08-04_14h42.39.209,magic_trick,2023.1.3,164.79242742220052,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,73.59603530002641,74.89836810002453,481468,001,2023-08-04_14h42.39.209,magic_trick,2023.1.3,164.79242742220052,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,75.19573100001435,,481468,001,2023-08-04_14h42.39.209,magic_trick,2023.1.3,164.79242742220052,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,76.79477320000296,,481468,001,2023-08-04_14h42.39.209,magic_trick,2023.1.3,164.79242742220052,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,78.39395100000547,79.70452520000981,481468,001,2023-08-04_14h42.39.209,magic_trick,2023.1.3,164.79242742220052,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,79.99663639999926,81.29969940002775,481468,001,2023-08-04_14h42.39.209,magic_trick,2023.1.3,164.79242742220052,
