trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,text_4.stopped,polygon_2.stopped,text_6.started,a_card.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.324853800004348,7.324853800004348,space,10.153037599986419,None,,,,,,,,,,,,,,,,,,,,,,,,,,493335,001,2023-08-04_16h42.26.298,magic_trick,2023.1.3,164.79188428897223,
,,,,,,,,,17.644807200005744,17.644807200005744,17.644807200005744,17.644807200005744,17.644807200005744,17.644807200005744,17.644807200005744,17.644807200005744,17.644807200005744,17.644807200005744,17.644807200005744,space,6.81394160000491,None,,,,,,,,,,,,493335,001,2023-08-04_16h42.26.298,magic_trick,2023.1.3,164.79188428897223,
,,,,,,,,,,,,,,,,,,,,,,,24.46472389998962,24.46472389998962,space,9.96617219998734,None,,,,,,,493335,001,2023-08-04_16h42.26.298,magic_trick,2023.1.3,164.79188428897223,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,34.44180050000432,34.44180050000432,35.44199870000011,35.44199870000011,35.44199870000011,35.95978559998912,493335,001,2023-08-04_16h42.26.298,magic_trick,2023.1.3,164.79188428897223,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.946753099997295,37.45109129999764,493335,001,2023-08-04_16h42.26.298,magic_trick,2023.1.3,164.79188428897223,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.44574239998474,38.94809299998451,493335,001,2023-08-04_16h42.26.298,magic_trick,2023.1.3,164.79188428897223,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.947910899994895,40.44865049998043,493335,001,2023-08-04_16h42.26.298,magic_trick,2023.1.3,164.79188428897223,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.445738499984145,41.947082900005626,493335,001,2023-08-04_16h42.26.298,magic_trick,2023.1.3,164.79188428897223,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.945682799996575,43.44598639998003,493335,001,2023-08-04_16h42.26.298,magic_trick,2023.1.3,164.79188428897223,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44295319999219,44.95188789998065,493335,001,2023-08-04_16h42.26.298,magic_trick,2023.1.3,164.79188428897223,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.94722329999786,46.448494399985066,493335,001,2023-08-04_16h42.26.298,magic_trick,2023.1.3,164.79188428897223,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.44658590000472,47.94895259998157,493335,001,2023-08-04_16h42.26.298,magic_trick,2023.1.3,164.79188428897223,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.947039299993776,49.450227900000755,493335,001,2023-08-04_16h42.26.298,magic_trick,2023.1.3,164.79188428897223,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.442199099983554,50.94992399998591,493335,001,2023-08-04_16h42.26.298,magic_trick,2023.1.3,164.79188428897223,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.94190129998606,52.44844449998345,,,,,,,
