trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,text_4.stopped,polygon_2.stopped,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.863382900017314,7.863382900017314,space,1.5369545000139624,None,,,,,,,,,,,,,,,,,,,,,,,,,,620573,001,2023-08-04_14h55.32.693,magic_trick,2023.1.3,164.78210858206455,
,,,,,,,,,9.55343990001711,9.55343990001711,9.55343990001711,9.55343990001711,9.55343990001711,9.55343990001711,9.55343990001711,9.55343990001711,9.55343990001711,9.55343990001711,9.55343990001711,space,0.8061026999785099,None,,,,,,,,,,,,620573,001,2023-08-04_14h55.32.693,magic_trick,2023.1.3,164.78210858206455,
,,,,,,,,,,,,,,,,,,,,,,,10.366205700003775,10.366205700003775,space,1.0741267000266816,None,,,,,,,620573,001,2023-08-04_14h55.32.693,magic_trick,2023.1.3,164.78210858206455,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,11.452399400004651,11.452399400004651,12.467478400008986,12.467478400008986,12.746528399991803,14.054685500013875,620573,001,2023-08-04_14h55.32.693,magic_trick,2023.1.3,164.78210858206455,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.346290699992096,15.651152400008868,620573,001,2023-08-04_14h55.32.693,magic_trick,2023.1.3,164.78210858206455,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.94843530000071,,620573,001,2023-08-04_14h55.32.693,magic_trick,2023.1.3,164.78210858206455,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.549901199992746,,620573,001,2023-08-04_14h55.32.693,magic_trick,2023.1.3,164.78210858206455,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.149002899997868,,620573,001,2023-08-04_14h55.32.693,magic_trick,2023.1.3,164.78210858206455,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.748740700015333,22.05609190001269,620573,001,2023-08-04_14h55.32.693,magic_trick,2023.1.3,164.78210858206455,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.347875200008275,23.65505289999419,620573,001,2023-08-04_14h55.32.693,magic_trick,2023.1.3,164.78210858206455,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.946599199989578,25.254993000009563,620573,001,2023-08-04_14h55.32.693,magic_trick,2023.1.3,164.78210858206455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.546578900015447,,,,,,,,
