trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,text_3.started,key_resp_2.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text_4.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,polygon.started,polygon.stopped,text.started,text.stopped,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.698795299977064,7.698795299977064,space,0.5669522000243887,None,,,,,,,,,,,,,,,,,,,,,,,,,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
,,,,,,,,,8.456131399958394,8.456131399958394,8.456131399958394,8.456131399958394,8.456131399958394,8.456131399958394,8.456131399958394,8.456131399958394,8.456131399958394,8.456131399958394,8.456131399958394,space,10.23343029996613,None,,,,,,,,,,,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
,,,,,,,,,,,,,,,,,,,,,,,18.722533399995882,18.722533399995882,space,1.255282400001306,None,,,,,,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,20.494032299960963,22.506742700003088,22.506742700003088,23.022977099986747,23.022977099986747,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.022753999975976,,24.522727200004738,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.523161399993114,,26.006091899995226,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00610289996257,27.507360699994024,27.507360699994024,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.523725599981844,,29.00703129998874,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.006121999991592,30.506352099997457,30.506352099997457,31.50615089997882,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,31.50615089997882,,32.00818459998118,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,33.00617019995116,33.50615359999938,33.50615359999938,34.50618589995429,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.50618589995429,,35.008114099968225,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00618490000488,36.510802200005855,36.510802200005855,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,37.52338759996928,,38.006205999990925,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,39.006570899975486,39.50620239996351,39.50620239996351,40.50622310000472,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,40.50622310000472,41.00750690000132,41.00750690000132,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0229453999782,,42.5229057999677,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52293049998116,,44.02293609996559,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,45.02295279997634,,45.52294949995121,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,46.52296699996805,,47.02295019995654,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,48.022968799981754,,48.52297059999546,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5229678999749,,50.02447139995638,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02298939996399,,51.52299879997736,,628516,001,2023-08-06_16h02.10.147,magic_trick_rebuild,2023.1.3,59.96706607389406,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.506329600000754,53.00662979995832,53.00662979995832,,,,,,,,
