trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp_2.started,image.started,image_2.started,image_3.started,image_4.started,image_5.started,image_6.started,image_7.started,image_8.started,image_9.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,13.954745700000785,13.954745700000785,space,0.6182105999905616,,,,,,,,,,,,,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
0,0,0,0,,,,,14.72443020006176,14.72443020006176,14.72443020006176,14.72443020006176,14.72443020006176,14.72443020006176,14.72443020006176,14.72443020006176,14.72443020006176,14.72443020006176,space,5.115890700020827,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
1,0,1,0,,,,,19.97226260008756,19.97226260008756,19.97226260008756,19.97226260008756,19.97226260008756,19.97226260008756,19.97226260008756,19.97226260008756,19.97226260008756,19.97226260008756,space,2.1922186999581754,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
2,0,2,0,,,,,22.310592000023462,22.310592000023462,22.310592000023462,22.310592000023462,22.310592000023462,22.310592000023462,22.310592000023462,22.310592000023462,22.310592000023462,22.310592000023462,space,5.2776770000346005,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
3,0,3,0,,,,,27.721388500067405,27.721388500067405,27.721388500067405,27.721388500067405,27.721388500067405,27.721388500067405,27.721388500067405,27.721388500067405,27.721388500067405,27.721388500067405,space,3.6617045999737456,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
4,0,4,0,,,,,31.515884099993855,31.515884099993855,31.515884099993855,31.515884099993855,31.515884099993855,31.515884099993855,31.515884099993855,31.515884099993855,31.515884099993855,31.515884099993855,space,2.5012938000727445,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
5,0,5,0,,,,,34.16985160007607,34.16985160007607,34.16985160007607,34.16985160007607,34.16985160007607,34.16985160007607,34.16985160007607,34.16985160007607,34.16985160007607,34.16985160007607,space,1.6886128999758512,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
6,0,6,0,,,,,36.01421560009476,36.01421560009476,36.01421560009476,36.01421560009476,36.01421560009476,36.01421560009476,36.01421560009476,36.01421560009476,36.01421560009476,36.01421560009476,space,1.1743120000464842,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
7,0,7,0,,,,,37.345520900096744,37.345520900096744,37.345520900096744,37.345520900096744,37.345520900096744,37.345520900096744,37.345520900096744,37.345520900096744,37.345520900096744,37.345520900096744,space,0.40573540003970265,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
8,0,8,0,,,,,37.89098870009184,37.89098870009184,37.89098870009184,37.89098870009184,37.89098870009184,37.89098870009184,37.89098870009184,37.89098870009184,37.89098870009184,37.89098870009184,space,0.6369910000357777,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
9,0,9,0,,,,,38.685018700081855,38.685018700081855,38.685018700081855,38.685018700081855,38.685018700081855,38.685018700081855,38.685018700081855,38.685018700081855,38.685018700081855,38.685018700081855,space,0.3842927999794483,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
10,0,10,0,,,,,39.206256800098345,39.206256800098345,39.206256800098345,39.206256800098345,39.206256800098345,39.206256800098345,39.206256800098345,39.206256800098345,39.206256800098345,39.206256800098345,space,0.059362599975429475,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
11,0,11,0,,,,,39.39432050008327,39.39432050008327,39.39432050008327,39.39432050008327,39.39432050008327,39.39432050008327,39.39432050008327,39.39432050008327,39.39432050008327,39.39432050008327,space,0.06836370006203651,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
12,0,12,0,,,,,39.59931080008391,39.59931080008391,39.59931080008391,39.59931080008391,39.59931080008391,39.59931080008391,39.59931080008391,39.59931080008391,39.59931080008391,39.59931080008391,space,0.021362699917517602,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
13,0,13,0,,,,,39.75709200010169,39.75709200010169,39.75709200010169,39.75709200010169,39.75709200010169,39.75709200010169,39.75709200010169,39.75709200010169,39.75709200010169,39.75709200010169,space,0.0567586999386549,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
14,0,14,0,,,,,39.95112840004731,39.95112840004731,39.95112840004731,39.95112840004731,39.95112840004731,39.95112840004731,39.95112840004731,39.95112840004731,39.95112840004731,39.95112840004731,space,0.028761500027030706,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
15,0,15,0,,,,,40.10870900005102,40.10870900005102,40.10870900005102,40.10870900005102,40.10870900005102,40.10870900005102,40.10870900005102,40.10870900005102,40.10870900005102,40.10870900005102,space,2.0743264999473467,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
16,0,16,0,,,,,42.314480400062166,42.314480400062166,42.314480400062166,42.314480400062166,42.314480400062166,42.314480400062166,42.314480400062166,42.314480400062166,42.314480400062166,42.314480400062166,space,0.8157832999713719,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
17,0,17,0,,,,,43.27498820004985,43.27498820004985,43.27498820004985,43.27498820004985,43.27498820004985,43.27498820004985,43.27498820004985,43.27498820004985,43.27498820004985,43.27498820004985,space,0.9595157000003383,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
18,0,18,0,,,,,44.363031600019895,44.363031600019895,44.363031600019895,44.363031600019895,44.363031600019895,44.363031600019895,44.363031600019895,44.363031600019895,44.363031600019895,44.363031600019895,space,0.30493169999681413,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
19,0,19,0,,,,,44.79921770002693,44.79921770002693,44.79921770002693,44.79921770002693,44.79921770002693,44.79921770002693,44.79921770002693,44.79921770002693,44.79921770002693,44.79921770002693,space,0.3347428999841213,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
20,0,20,0,,,,,45.267314700060524,45.267314700060524,45.267314700060524,45.267314700060524,45.267314700060524,45.267314700060524,45.267314700060524,45.267314700060524,45.267314700060524,45.267314700060524,space,9.71685849991627,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
21,0,21,0,,,,,55.10707530006766,55.10707530006766,55.10707530006766,55.10707530006766,55.10707530006766,55.10707530006766,55.10707530006766,55.10707530006766,55.10707530006766,55.10707530006766,space,0.03615289996378124,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
22,0,22,0,,,,,55.282263400033116,55.282263400033116,55.282263400033116,55.282263400033116,55.282263400033116,55.282263400033116,55.282263400033116,55.282263400033116,55.282263400033116,55.282263400033116,space,0.06308649992570281,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
23,0,23,0,,,,,55.472130900016055,55.472130900016055,55.472130900016055,55.472130900016055,55.472130900016055,55.472130900016055,55.472130900016055,55.472130900016055,55.472130900016055,55.472130900016055,space,0.04644960002042353,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
24,0,24,0,,,,,55.64635450008791,55.64635450008791,55.64635450008791,55.64635450008791,55.64635450008791,55.64635450008791,55.64635450008791,55.64635450008791,55.64635450008791,55.64635450008791,space,0.03533159999642521,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
25,0,25,0,,,,,55.810139000066556,55.810139000066556,55.810139000066556,55.810139000066556,55.810139000066556,55.810139000066556,55.810139000066556,55.810139000066556,55.810139000066556,55.810139000066556,space,0.018569699954241514,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
26,0,26,0,,,,,55.96770030003972,55.96770030003972,55.96770030003972,55.96770030003972,55.96770030003972,55.96770030003972,55.96770030003972,55.96770030003972,55.96770030003972,55.96770030003972,space,0.02151889994274825,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
27,0,27,0,,,,,56.13774180004839,56.13774180004839,56.13774180004839,56.13774180004839,56.13774180004839,56.13774180004839,56.13774180004839,56.13774180004839,56.13774180004839,56.13774180004839,space,0.13789719995111227,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
28,0,28,0,,,,,56.403487400035374,56.403487400035374,56.403487400035374,56.403487400035374,56.403487400035374,56.403487400035374,56.403487400035374,56.403487400035374,56.403487400035374,56.403487400035374,space,0.0433750000083819,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
29,0,29,0,,,,,56.57933010009583,56.57933010009583,56.57933010009583,56.57933010009583,56.57933010009583,56.57933010009583,56.57933010009583,56.57933010009583,56.57933010009583,56.57933010009583,space,0.0228301000315696,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
30,0,30,0,,,,,56.73175890010316,56.73175890010316,56.73175890010316,56.73175890010316,56.73175890010316,56.73175890010316,56.73175890010316,56.73175890010316,56.73175890010316,56.73175890010316,space,0.026413399958983064,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
31,0,31,0,,,,,56.88851220009383,56.88851220009383,56.88851220009383,56.88851220009383,56.88851220009383,56.88851220009383,56.88851220009383,56.88851220009383,56.88851220009383,56.88851220009383,space,0.018676400068216026,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
32,0,32,0,,,,,57.039939400041476,57.039939400041476,57.039939400041476,57.039939400041476,57.039939400041476,57.039939400041476,57.039939400041476,57.039939400041476,57.039939400041476,57.039939400041476,space,0.021277799969539046,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
33,0,33,0,,,,,57.19650780002121,57.19650780002121,57.19650780002121,57.19650780002121,57.19650780002121,57.19650780002121,57.19650780002121,57.19650780002121,57.19650780002121,57.19650780002121,space,0.020855600014328957,685292,001,2023-06-01_15h38.08.082,magic_trick,2022.2.5,82.2223720486695,
