trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,a_card.started,a_card.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.621452699997462,7.621452699997462,space,1.2181834999937564,None,,,,,,,,,,,,,,,,,,,,,,,,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
,,,,,,,,,9.004990999994334,9.004990999994334,9.004990999994334,9.004990999994334,9.004990999994334,9.004990999994334,9.004990999994334,9.004990999994334,9.004990999994334,9.004990999994334,9.004990999994334,space,0.9872030999977142,None,,,,,,,,,,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
,,,,,,,,,,,,,,,,,,,,,,,9.999398600019049,9.999398600019049,space,5.456246499990812,None,,,,,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,15.462742700008675,15.462742700008675,16.757398200017633,18.065270499995677,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.362577100022463,,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.961275100009516,,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.560013300011633,,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.159702800010564,24.466889100003755,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.75829369999701,26.06592590000946,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.356947799999034,27.664599300012924,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.956485200003954,29.26384460000554,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.561155700008385,,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,31.159899399994174,,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,32.758499999996275,34.06338870001491,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.36069689999567,,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,35.958722900017165,37.26746269999421,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,37.55888580001192,38.866488200001186,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1579294000112,40.46159250001074,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,40.75864780001575,42.06606420001481,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,42.357047099998454,43.665144900005544,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,43.956214000005275,45.26365010000882,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,45.56110700001591,,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,47.16173920000438,,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,48.75827030002256,,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,50.36026640000637,,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.96050960000139,,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,53.561431500012986,,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,55.16034689999651,,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,56.758456800016575,58.066329599998426,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,58.35772349999752,59.66154590001679,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,59.958891800022684,61.266208600020036,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,61.55723360000411,62.86524880002253,787821,001,2023-08-04_14h56.11.492,magic_trick,2023.1.3,165.5900553250226,
