trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,image.started,image_2.started,image_3.started,image_4.started,image_5.started,image_6.started,image_7.started,image_8.started,image_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,image_10.started,image_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,8.450394199986476,8.450394199986476,space,79.26975079998374,None,,,,,,,,,,,,,,,,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
,,,,,,,,,87.89379649999319,87.89379649999319,87.89379649999319,87.89379649999319,87.89379649999319,87.89379649999319,87.89379649999319,87.89379649999319,87.89379649999319,87.89379649999319,space,4.291055699985009,None,,,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
0,0,0,0,,,,,,,,,,,,,,,,,,,92.4884577000048,93.80329240002902,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
1,0,1,0,,,,,,,,,,,,,,,,,,,94.08835719997296,95.39432800002396,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
2,0,2,0,,,,,,,,,,,,,,,,,,,95.69132839998929,,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
3,0,3,0,,,,,,,,,,,,,,,,,,,97.28709559998242,98.59659149998333,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
4,0,4,0,,,,,,,,,,,,,,,,,,,98.88761400000658,100.19356829999015,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
5,0,5,0,,,,,,,,,,,,,,,,,,,100.49141219997546,101.79604200000176,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
6,0,6,0,,,,,,,,,,,,,,,,,,,102.08734899997944,103.39639700000407,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
7,0,7,0,,,,,,,,,,,,,,,,,,,103.68761349999113,104.99734090000857,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
8,0,8,0,,,,,,,,,,,,,,,,,,,105.28811939997831,106.590586300008,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
9,0,9,0,,,,,,,,,,,,,,,,,,,106.8916581000085,,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
10,0,10,0,,,,,,,,,,,,,,,,,,,108.48753009998472,109.79293450003024,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
11,0,11,0,,,,,,,,,,,,,,,,,,,110.09004340000683,,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
12,0,12,0,,,,,,,,,,,,,,,,,,,111.68729039997561,112.99501409998629,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
13,0,13,0,,,,,,,,,,,,,,,,,,,113.28680750000058,114.58905479998793,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
14,0,14,0,,,,,,,,,,,,,,,,,,,114.88855869998224,116.19285260001197,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
15,0,15,0,,,,,,,,,,,,,,,,,,,116.48990480002249,117.79301319998922,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
16,0,16,0,,,,,,,,,,,,,,,,,,,118.09106280002743,119.39518470002804,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
17,0,17,0,,,,,,,,,,,,,,,,,,,119.68634279997787,120.98916180001106,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
18,0,18,0,,,,,,,,,,,,,,,,,,,121.28624570003012,122.59121360001154,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
19,0,19,0,,,,,,,,,,,,,,,,,,,122.88833619997604,124.19426289998228,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
20,0,20,0,,,,,,,,,,,,,,,,,,,124.49170650000451,125.79806729999837,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
21,0,21,0,,,,,,,,,,,,,,,,,,,126.08918549999362,,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
22,0,22,0,,,,,,,,,,,,,,,,,,,127.690645100025,128.99395690002711,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
23,0,23,0,,,,,,,,,,,,,,,,,,,129.28789660002803,130.59116670000367,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
24,0,24,0,,,,,,,,,,,,,,,,,,,130.8923854000168,,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
25,0,25,0,,,,,,,,,,,,,,,,,,,132.48817730002338,133.79206930001965,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
26,0,26,0,,,,,,,,,,,,,,,,,,,134.0891672000289,135.3951977000106,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
27,0,27,0,,,,,,,,,,,,,,,,,,,135.68623340001795,136.99425930000143,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
28,0,28,0,,,,,,,,,,,,,,,,,,,137.29137900000205,138.59478859999217,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
29,0,29,0,,,,,,,,,,,,,,,,,,,138.89115450001555,140.19594459998189,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
30,0,30,0,,,,,,,,,,,,,,,,,,,140.4886682999786,141.7965622000047,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
31,0,31,0,,,,,,,,,,,,,,,,,,,142.08873580000363,143.3969836999895,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
32,0,32,0,,,,,,,,,,,,,,,,,,,143.68908229999943,145.00613549997797,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
33,0,33,0,,,,,,,,,,,,,,,,,,,145.28782099997625,146.5943292999873,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
34,0,34,0,,,,,,,,,,,,,,,,,,,146.8874811999849,148.19767449999927,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
35,0,35,0,,,,,,,,,,,,,,,,,,,148.48877639998682,149.79495800001314,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
36,0,36,0,,,,,,,,,,,,,,,,,,,150.0872427999857,151.3910451999982,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
37,0,37,0,,,,,,,,,,,,,,,,,,,151.69087440002477,152.99643330002436,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
38,0,38,0,,,,,,,,,,,,,,,,,,,153.28780679998454,154.59001119999448,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
39,0,39,0,,,,,,,,,,,,,,,,,,,154.88949999999022,156.19504489999963,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
40,0,40,0,,,,,,,,,,,,,,,,,,,156.4887951000128,157.79698360001203,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
41,0,41,0,,,,,,,,,,,,,,,,,,,158.08825299999444,159.397704300005,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
42,0,42,0,,,,,,,,,,,,,,,,,,,159.6886590999784,160.98927520000143,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
43,0,43,0,,,,,,,,,,,,,,,,,,,161.28635369997937,162.59108939999714,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
44,0,44,0,,,,,,,,,,,,,,,,,,,162.88843569997698,164.19401749997633,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
45,0,45,0,,,,,,,,,,,,,,,,,,,164.4864005999989,165.79056320001837,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
46,0,46,0,,,,,,,,,,,,,,,,,,,166.09034420002718,167.39790330000687,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
47,0,47,0,,,,,,,,,,,,,,,,,,,167.68891000002623,168.9915777000133,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
48,0,48,0,,,,,,,,,,,,,,,,,,,169.28475559997605,170.5897558000288,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
49,0,49,0,,,,,,,,,,,,,,,,,,,170.8870362000307,172.18609919998562,934471,001,2023-07-30_09h27.57.280,magic_trick,2023.1.3,158.48739628516884,
