trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.started,text_3.started,card_1.started,card_2.started,card_3.started,card_4.started,card_5.started,card_6.started,card_7.started,card_8.started,card_9.started,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.started,polygon_2.started,text_6.started,a_card.started,text_5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.761297899996862,7.761297899996862,space,15.376086899981601,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
,,,,,,,,,23.296174700022675,23.296174700022675,23.296174700022675,23.296174700022675,23.296174700022675,23.296174700022675,23.296174700022675,23.296174700022675,23.296174700022675,23.296174700022675,23.296174700022675,space,15.062165100011043,None,,,,,,,,,,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
,,,,,,,,,,,,,,,,,,,,,,,38.36946250000619,38.36946250000619,space,3.594665399985388,None,,,,,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,41.97353790001944,41.97353790001944,42.97337280001375,43.490411700011464,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,44.476793200010434,44.98350410000421,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,45.97917220002273,46.47983580001164,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,47.477409800019814,47.983091500005685,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,48.97315340000205,49.47982900001807,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,50.47623920001206,50.9815673000121,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9787653000094,52.479413599998225,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,53.47750000000815,53.982545300008496,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,54.97970220001298,55.47940050001489,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,56.47629650001181,56.98148990000482,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,57.978513000009116,58.479737300018314,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,59.476401399995666,59.980504600011045,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,60.97858460000134,61.478337200009264,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,62.47813080000924,62.98046640001121,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,63.97790310002165,64.47828130002017,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,65.47463530002278,65.9808654000226,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,66.97751660001813,67.48845380000421,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,68.47433160000946,68.98048930001096,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,69.97755560002406,70.48346879999735,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,71.48015210000449,71.97939240001142,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9775568000041,73.48313040001085,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,74.47928810000303,74.97934810002334,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,75.97773620000225,76.48282090001157,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4790931000025,77.97978590001003,,,,,,941860,001,2023-08-04_16h45.58.700,magic_trick,2023.1.3,163.76100068787818,
