trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp_2.started,image.started,image_2.started,image_3.started,image_4.started,image_5.started,image_6.started,image_7.started,image_8.started,image_9.started,key_resp_2.keys,key_resp_2.rt,image_10.started,image_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,15.022375699831173,15.022375699831173,space,2.158799499971792,,,,,,,,,,,,,,,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
,,,,,,,,17.33704679994844,17.33704679994844,17.33704679994844,17.33704679994844,17.33704679994844,17.33704679994844,17.33704679994844,17.33704679994844,17.33704679994844,17.33704679994844,space,8.344922500196844,,,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
0,0,0,0,,,,,,,,,,,,,,,,,25.991423100000247,27.305879599880427,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
1,0,1,0,,,,,,,,,,,,,,,,,27.59080919995904,,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
2,0,2,0,,,,,,,,,,,,,,,,,29.189869599882513,30.50557619985193,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
3,0,3,0,,,,,,,,,,,,,,,,,30.78990549989976,32.111249699955806,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
4,0,4,0,,,,,,,,,,,,,,,,,32.38962719985284,33.705088399816304,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
5,0,5,0,,,,,,,,,,,,,,,,,33.990146999945864,,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
6,0,6,0,,,,,,,,,,,,,,,,,35.58945989981294,,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
7,0,7,0,,,,,,,,,,,,,,,,,37.189075500005856,38.5044893999584,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
8,0,8,0,,,,,,,,,,,,,,,,,38.789355099899694,40.103504200000316,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
9,0,9,0,,,,,,,,,,,,,,,,,40.6495263997931,,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
10,0,10,0,,,,,,,,,,,,,,,,,41.98920929990709,43.30383230000734,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
11,0,11,0,,,,,,,,,,,,,,,,,43.58911509998143,,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
12,0,12,0,,,,,,,,,,,,,,,,,45.18832949991338,46.503619299968705,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
13,0,13,0,,,,,,,,,,,,,,,,,46.788198799826205,48.1031339999754,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
14,0,14,0,,,,,,,,,,,,,,,,,48.388134999899194,,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
15,0,15,0,,,,,,,,,,,,,,,,,49.98751079989597,51.3035461998079,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
16,0,16,0,,,,,,,,,,,,,,,,,51.58742149989121,52.9024939998053,981595,001,2023-06-05_11h54.44.106,magic_trick,2022.2.5,164.8459429624933,
